kigo,pronunciation,season
秋鰯,あきいわし,秋
秋植球根,あきうえきゅうこん,秋
秋鵜飼,あきうかい,秋
秋団扇,あきうちわ,秋
秋麗,あきうらら・しゅうれい,秋
秋扇,あきおうぎ・しゅうせん,秋
秋起し,あきおこし,秋
秋収め,あきおさめ,秋
秋惜む,あきおしむ,秋
秋遅草,あきおそぐさ,秋
秋女,あきおんな,秋
秋陰,あきかげ・しゅういん,秋
秋霞,あきがすみ,秋
秋風,あきかぜ・しゅうふう,秋
秋風月,あきかぜづき,秋
秋鰹,あきかつお,秋
秋学期,あきがっき,秋
秋川,あきがわ,秋
秋乾き,あきがわき,秋
秋渇,あきがわき,秋
秋渇き,あきがわき,秋
秋胡瓜,あききゅうり,秋
秋狂言,あききょうげん,秋
秋草,あきくさ,秋
秋口,あきぐち,秋
秋茱萸,あきぐみ,秋
秋雲,あきぐも・しゅううん,秋
秋曇,あきぐもり,秋
秋来る,あきくる,秋
秋暮るる,あきくるる,秋
秋暮れて,あきくれて,秋
秋桑,あきくわ,秋
秋景色,あきげしき,秋
秋蚕,あきご・しゅうさん,秋
秋小寒,あきこさむ,秋
秋小鳥,あきことり,秋
秋咲きサフラン,あきさきさふらん,秋
秋桜,あきざくら,秋
秋鯖,あきさば,秋
秋寂び,あきさび,秋
秋さびし,あきさびし,秋
秋さぶ,あきさぶ,秋
秋寂ぶ,あきさぶ,秋
秋寒,あきさむ,秋
秋寒し,あきさむし,秋
秋雨,あきさめ,秋
秋さり,あきさり,秋
秋去衣,あきさりごろも,秋
秋去姫,あきさりひめ,秋
秋さる,あきさる,秋
秋され,あきされ,秋
秋珊瑚,あきさんご,秋
秋師,あきし,秋
秋しくの花,あきしくのはな,秋
秋時雨,あきしぐれ,秋
秋じまひ,あきじまい,秋
秋じみる,あきじみる,秋
秋じむ,あきじむ,秋
秋湿,あきじめり,秋
秋湿り,あきじめり,秋
秋過ぎて,あきすぎて,秋
秋過ぐ,あきすぐ,秋
秋涼し,あきすずし,秋
秋簾,あきすだれ・あきす,秋
秋澄む,あきすむ,秋
秋さうび,あきそうび,秋
秋蕎麦,あきそば,秋
秋ぞ隔る,あきぞへだたる,秋
秋空,あきぞら,秋
秋田,あきた,秋
秋高し,あきたかし,秋
秋田刈る,あきたかる,秋
秋闌くる,あきたくる,秋
秋闌,あきたけなわ,秋
秋闌ける,あきたける,秋
秋立つ,あきたつ,秋
秋ち草,あきちぐさ,秋
秋蝶,あきちょう,秋
秋尽く,あきつく,秋
秋づく,あきづく,秋
秋燕,あきつばめ・しゅうえん,秋
秋手入れ,あきていれ,秋
秋出水,あきでみず,秋
秋ともし,あきともし,秋
秋土用,あきどよう,秋
秋半ば,あきなかば,秋
秋渚,あきなぎさ,秋
秋なすび,あきなすび,秋
秋茄子,あきなすび・あきなす,秋
秋七草,あきななくさ,秋
秋七日,あきなぬか,秋
秋に入る,あきにいる,秋
秋に後るる,あきにおくるる,秋
秋虹,あきにじ,秋
秋のあかつき,あきのあかつき,秋
秋の朝,あきのあさ,秋
秋の朝日,あきのあさひ,秋
秋の遊び,あきのあそび,秋
秋の暑さ,あきのあつさ,秋
秋の雨,あきのあめ,秋
秋の鮎,あきのあゆ,秋
秋の嵐,あきのあらし,秋
秋の袷,あきのあわせ,秋
秋の家,あきのいえ,秋
秋の庵,あきのいおり,秋
秋の池,あきのいけ,秋
秋の入日,あきのいりひ,秋
秋の衣類,あきのいるい,秋
秋の色,あきのいろ,秋
秋の鵜,あきのう,秋
秋の鵜飼,あきのうかい,秋
秋の団扇,あきのうちわ,秋
秋の海,あきのうみ,秋
秋の愁,あきのうれい,秋
秋の遠足,あきのえんそく,秋
秋の大風,あきのおおかぜ,秋
秋の大潮,あきのおおしお,秋
秋の大掃除,あきのおおそうじ,秋
秋のおきまつり,あきのおきまつり,秋
秋の落葉,あきのおちば,秋
秋の音,あきのおと,秋
秋の終,あきのおわり,秋
秋の終り,あきのおわり,秋
秋の蚊,あきのか,秋
秋の限,あきのかぎり,秋
秋野駈,あきのがけ,秋
秋の霞,あきのかすみ,秋
秋の風,あきのかぜ,秋
秋の帷子,あきのかたびら,秋
秋の蚊帳,あきのかや,秋
秋の㡡,あきのかや,秋
秋の烏,あきのからす,秋
秋の狩場,あきのかりば,秋
秋の川,あきのかわ,秋
秋の蛙,あきのかわず,秋
秋の気,あきのき,秋
秋の御遊,あきのぎょゆう,秋
秋の麒麟草,あきのきりんそう,秋
秋の金魚,あきのきんぎょ,秋
秋の草,あきのくさ,秋
秋の雲,あきのくも,秋
秋の暮,あきのくれ,秋
秋の桑,あきのくわ,秋
秋の江,あきのこう,秋
秋の声,あきのこえ,秋
秋の御灯,あきのごとう,秋
秋の牛蒡蒔く,あきのごぼうまく,秋
秋の駒,あきのこま,秋
秋の駒牽,あきのこまびき,秋
秋の更衣,あきのころもがえ,秋
秋の潮,あきのしお,秋
秋の霜,あきのしも,秋
秋の除目,あきのじもく,秋
秋の社日,あきのしゃにち,秋
秋の末,あきのすえ,秋
秋の釈奠,あきのせきてん,秋
秋の蟬,あきのせみ,秋
秋のセル,あきのせる,秋
秋の園,あきのその,秋
秋の空,あきのそら,秋
秋の田,あきのた,秋
秋の蝶,あきのちょう,秋
秋の月,あきのつき,秋
秋の土,あきのつち,秋
秋の出代,あきのでがわり,秋
秋の戸,あきのと,秋
秋の名草,あきのなぐさ,秋
秋の名残,あきのなごり,秋
秋の七草,あきのななくさ,秋
秋の波,あきのなみ,秋
秋の虹,あきのにじ,秋
秋の錦,あきのにしき,秋
秋の庭,あきのにわ,秋
秋の沼,あきのぬま,秋
秋の野,あきのの,秋
秋の野遊,あきののあそび,秋
秋の蜂,あきのはち,秋
秋の初風,あきのはつかぜ,秋
秋の初霜,あきのはつじも,秋
秋の初雪,あきのはつゆき,秋
秋の果,あきのはて,秋
秋の花蕨,あきのはなわらび,秋
秋の浜,あきのはま,秋
秋の浜辺,あきのはまべ,秋
秋の原,あきのはら,秋
秋の薔薇,あきのばら,秋
秋の晴,あきのはれ,秋
秋の日,あきのひ,秋
秋の灯,あきのひ,秋
秋の光,あきのひかり,秋
秋の彼岸,あきのひがん,秋
秋の彼岸会,あきのひがんえ,秋
秋のピクニック,あきのぴくにっく,秋
秋の旱,あきのひでり,秋
秋の雛,あきのひな,秋
秋の昼,あきのひる,秋
秋の服,あきのふく,秋
秋の二日灸,あきのふつかやいと,秋
秋の鮒,あきのふな,秋
秋の蛇,あきのへび,秋
秋の星,あきのほし,秋
秋の蛍,あきのほたる,秋
秋の水,あきのみず,秋
秋の湖,あきのみずうみ・あきのうみ,秋
秋の湊,あきのみなと,秋
秋の峯,あきのみね,秋
秋の嶺,あきのみね,秋
秋の峯入,あきのみねいり,秋
秋の宮,あきのみや,秋
秋の虫送り,あきのむしおくり,秋
秋の村雨,あきのむらさめ,秋
秋の芽,あきのめ,秋
秋の宿,あきのやど,秋
秋の藪入,あきのやぶいり,秋
秋の山,あきのやま,秋
秋の山遊,あきのやまあそび,秋
秋の夕,あきのゆう・あきのゆうべ,秋
秋の夕暮,あきのゆうぐれ,秋
秋の夕日,あきのゆうひ,秋
秋の夕焼,あきのゆうやけ,秋
秋の雪,あきのゆき,秋
秋の行方,あきのゆくえ,秋
秋の夢,あきのゆめ,秋
秋の夜明,あきのよあけ,秋
秋の宵,あきのよい,秋
秋の夜,あきのよる,秋
秋の雷,あきのらい,秋
秋の落日,あきのらくじつ,秋
秋の炉,あきのろ,秋
秋の別,あきのわかれ,秋
秋萩,あきはぎ,秋
秋初め,あきはじめ,秋
秋場所,あきばしょ,秋
秋初月,あきはづき,秋
秋薔薇,あきばら,秋
秋晴るる,あきはるる,秋
秋晴,あきばれ,秋
秋日,あきび,秋
秋日影,あきひかげ,秋
秋彼岸,あきひがん,秋
秋彼岸会,あきひがんえ,秋
秋日射,あきひざし,秋
秋旱,あきひでり,秋
秋日向,あきひなた,秋
秋日和,あきびより,秋
秋深し,あきふかし,秋
秋深む,あきふかむ,秋
秋更くる,あきふくる,秋
秋振舞,あきぶるまい,秋
秋遍路,あきへんろ,秋
秋北斗,あきほくと,秋
秋蛍,あきほたる,秋
秋牡丹,あきぼたん,秋
秋蒔牛蒡,あきまきごぼう,秋
秋蒔野菜,あきまきやさい,秋
秋祭,あきまつり,秋
秋繭,あきまゆ,秋
秋茗荷,あきみょうが,秋
秋めく,あきめく,秋
秋山,あきやま・しゅうざん,秋
秋夕草,あきゆうぐさ,秋
秋夕焼,あきゆうやけ,秋
秋行く,あきゆく,秋
秋より後,あきよりのち,秋
秋忘,あきわすれ,秋
秋を迎ふ,あきをむかう,秋
揚灯籠,あげとうろう・あげどうろう,秋
明の月,あけのつき,秋
揚花火,あげはなび,秋
烏覆子,あけび,秋
通草,あけび,秋
燕覆子,あけび,秋
通草かずら,あけびかずら,秋
通草棚,あけびだな,秋
阿古陀瓜,あこだうり,秋
朝顔,あさがお,秋
朝顔市,あさがおいち,秋
朝顔の実,あさがおのみ,秋
朝顔姫,あさがおひめ,秋
麻殻,あさがら,秋
朝霧,あさぎり,秋
朝霧草,あさぎりそう,秋
朝寒,あさざむ,秋
朝寒し,あささむし,秋
朝寒み,あささむみ,秋
朝鈴,あさすず,秋
浅茅,あさぢ,秋
朝茶の湯,あさちゃのゆ,秋
朝月,あさづき,秋
朝月日,あさつきひ,秋
朝月夜,あさづくよ・あさづきよ,秋
浅漬市,あさづけいち,秋
浅漬大根,あさづけだいこん,秋
朝露,あさつゆ,秋
朝鳥渡る,あさどりわたる,秋
朝庭,あさにわ,秋
朝の月,あさのつき,秋
麻の葉かえで,あさのはかえで,秋
麻の実,あさのみ,秋
朝冷,あさびえ,秋
薊牛蒡,あざみごぼう,秋
蘆,あし,秋
葦刈,あしかり,秋
蘆刈女,あしかりめ,秋
葦刈る,あしかる,秋
蘆の秋,あしのあき,秋
蘆の花,あしのはな,秋
蘆の穂,あしのほ,秋
蘆の穂絮,あしのほわた,秋
蘆原,あしはら,秋
葦火,あしび,秋
葦舟,あしぶね,秋
網代打,あじろうち,秋
網代木打つ,あじろぎうつ,秋
飛鳥井家七夕の鞠,あすかいけたなばたのまり,秋
飛鳥井の鞠,あすかいのまり,秋
小豆,あずき,秋
小豆洗い,あずきあらい,秋
小豆打つ,あずきうつ,秋
小豆殻,あずきがら,秋
小豆引く,あずきひく,秋
小豆干す,あずきほす,秋
汗茸,あせたけ,秋
畦雲雀,あぜひばり,秋
畦豆,あぜまめ,秋
愛宕火,あたごび,秋
温め酒,あたためざけ,秋
厚岸草,あつけしそう,秋
厚物咲,あつものざき,秋
花鶏,あとり,秋
獦子鳥,あとり,秋
穴まどひ,あなまどい,秋
穴惑い,あなまどい,秋
姉羽鶴,あねはづる,秋
阿濃津八幡祭,あのつはちまんまつり,秋
油菊,あぶらぎく,秋
油桐の実,あぶらぎりのみ,秋
油蟋蟀,あぶらこおろぎ,秋
溢蚊,あぶれか,秋
甘柿,あまがき,秋
甘子,あまこ,秋
天津雁,あまつかり,秋
天の川,あまのかわ,秋
雨冷,あまびえ,秋
甘干,あまぼし,秋
雨夜の月,あまよのつき,秋
江鮭,あめのうお,秋
鯇魚,あめのうお,秋
雨の月,あめのつき,秋
雨の盆,あめのぼん,秋
雨びえ,あめびえ,秋
雨名月,あめめいげつ,秋
穴織祭,あやはまつり,秋
綾巻,あやまき,秋
鮎落つ,あゆおつ,秋
荒鷹,あらたか,秋
荒棚,あらたな,秋
新たに涼し,あらたにすずし,秋
新に涼し,あらたにすずし,秋
新走,あらばしり,秋
新走り,あらばしり,秋
あら盆,あらぼん,秋
あららぎの実,あららぎのみ,秋
霰魚,あられうお,秋
有明,ありあけ,秋
有明月,ありあけづき,秋
有明月夜,ありあけづきよ,秋
蟻穴に入る,ありあなにいる,秋
蟻吸,ありすい,秋
荒地の菊,あれちのきく,秋
荒地野菊,あれちのぎく,秋
野塘菊,あれちのぎく,秋
粟,あわ,秋
粟打つ,あわうつ,秋
阿波踊,あわおどり,秋
粟刈る,あわかる,秋
粟黄金菊,あわこがねぎく,秋
粟田口祭,あわだくちまつり,秋
粟田神社祭,あわだじんじゃまつり,秋
泡立草,あわだちそう,秋
粟の黒穂,あわのくろほ,秋
粟の穂,あわのほ,秋
粟畑,あわばたけ,秋
粟花,あわばな,秋
粟引く,あわひく,秋
粟干す,あわほす,秋
泡虫,あわむし,秋
粟筵,あわむしろ,秋
粟飯,あわめし,秋
粟餅,あわもち,秋
哀れ蚊,あわれか,秋
安楽寺祭,あんらくじまつり,秋
あんらん樹,あんらんじゅ,秋
飯桐の実,いいぎりのみ,秋
家芋,いえついも,秋
烏賊洗い,いかあらい,秋
毬栗,いがぐり,秋
烏賊裂き,いかさき,秋
烏賊襖,いかぶすま,秋
烏賊干す,いかほす,秋
碇星,いかりぼし,秋
桑扈,いかる,秋
生き盆,いきぼん,秋
生盆,いきぼん,秋
生見玉,いきみたま,秋
生身魂,いきみたま,秋
生御魂,いきみたま,秋
生玉祭,いくたままつり,秋
生国魂祭,いくたままつり,秋
猪口,いくち,秋
黄蕈,いくちたけ,秋
池替え盆,いけかえぼん,秋
池替盆,いけかえぼん,秋
池の坊立花,いけのぼうりっか,秋
生けるを放つ,いけるをはなつ,秋
十六夜,いざよい・じゅうろくや,秋
十六夜の月,いざよいのつき,秋
いざよふ月,いざようつき,秋
石たたき,いしたたき,秋
石伏,いしぶし,秋
石斑魚,いしぶし,秋
衣裳を曬す,いしょうをさらす,秋
衣書を曬す,いしょをさらす,秋
交喙鳥,いすか,秋
交嘴鳥,いすか,秋
鶍,いすか,秋
蚊母樹,いすのき,秋
蚊母樹の実,いすのきのみ,秋
伊勢踊,いせおどり,秋
伊勢鯉,いせこい,秋
伊勢御遷宮,いせごせんぐう,秋
伊勢奉幣,いせほうへい,秋
磯菊,いそぎく,秋
夷則,いそく,秋
磯鴫,いそしぎ,秋
石上祭,いそのかみまつり,秋
板屋かえで,いたやかえで,秋
石櫧の実,いちいがしのみ,秋
一位の実,いちいのみ,秋
苺の株分,いちごのかぶわけ,秋
苺の根分け,いちごのねわけ,秋
無花果,いちじく,秋
一の宮祭,いちのみやまつり,秋
一番渋,いちばんしぶ,秋
一葉,いちよう・ひとは,秋
銀杏散る,いちょうちる,秋
銀杏の実,いちょうのみ,秋
銀杏黄葉,いちょうもみじ,秋
五日月,いつかづき,秋
厳島延年祭,いつくしまえんねんさい,秋
一遍忌,いっぺんき,秋
何時迄草,いつまでぐさ,秋
糸織姫,いとおりひめ,秋
糸かり姫,いとかりひめ,秋
糸芒,いとすすき,秋
糸薄,いとすすき,秋
竈馬,いとど,秋
いとど鳴く,いとどなく,秋
糸萩,いとはぎ,秋
稲馬,いなうま,秋
稲負鳥,いなおおせどり・いなおせどり,秋
稲垣,いながき,秋
田舎相撲,いなかすもう,秋
亥中の月,いなかのつき,秋
稲木,いなき,秋
稲車,いなぐるま・いねぐるま,秋
稲子,いなご,秋
蝗,いなご,秋
螽,いなご,秋
蝗串,いなごぐし,秋
蝗捕り,いなごとり,秋
蝗採,いなごとり,秋
稲子麿,いなごまろ,秋
稲雀,いなすずめ,秋
稲妻,いなずま,秋
稲田,いなだ,秋
稲爪神社牛乗,いなつめじんじゃうしのり,秋
いな釣,いなつり,秋
いなで草,いなでぐさ,秋
稲堆,いなにお,秋
稲葉,いなば,秋
稲葉の雲,いなばのくも,秋
稲葉の衣,いなばのころも,秋
稲葉の露,いなばのつゆ,秋
稲光,いなびかり,秋
稲舟,いなふね・いなぶね,秋
稲埃,いなほこり,秋
稲虫,いなむし,秋
稲筵,いなむしろ,秋
稲叢,いなむら,秋
犬飼星,いぬかいぼし,秋
犬垣,いぬがき,秋
犬山椒,いぬざんしょう,秋
犬蓼,いぬたで,秋
犬蓼の花,いぬたでのはな,秋
去ぬ燕,いぬつばめ,秋
犬梨,いぬなし,秋
犬稗,いぬひえ,秋
犬雲雀,いぬひばり,秋
狗酸漿,いぬほおずき,秋
稲,いね,秋
稲打,いねうち,秋
稲掛,いねかけ,秋
稲刈,いねかり,秋
稲刈鎌,いねかりがま,秋
稲刈頃,いねかりごろ,秋
稲刈月,いねかりづき,秋
稲刈時,いねかりどき,秋
稲刈る,いねかる,秋
稲扱,いねこき,秋
稲扱き,いねこき,秋
稲扱機,いねこきき,秋
稲扱筵,いねこきむしろ,秋
稲小屋,いねごや,秋
禾すなはち登る,いねすなわちみのる,秋
稲束,いねたば,秋
稲塚,いねづか・いなづか,秋
稲舂虫,いねつきむし,秋
稲積む,いねつむ,秋
稲の秋,いねのあき,秋
稲の殿,いねのとの,秋
稲の波,いねのなみ,秋
稲の花,いねのはな,秋
稲の花どき,いねのはなどき,秋
稲の秀,いねのほ,秋
稲の虫,いねのむし,秋
稲番,いねばん・いなばん,秋
稲干す,いねほす,秋
稲虫送,いねむしおくり・いなむしおくり,秋
牛膝,いのこずち,秋
野猪,いのしし,秋
猪,いのしし・しし,秋
祈り虫,いのりむし,秋
茨の実,いばらのみ,秋
居待,いまち,秋
居待月,いまちづき,秋
座待月,いまちづき,秋
居待の月,いまちのつき,秋
芋,いも,秋
藷,いも,秋
芋秋,いもあき,秋
芋嵐,いもあらし,秋
薯粥,いもがゆ,秋
芋がら,いもがら,秋
芋殻,いもがら,秋
いも汁,いもじる,秋
薯汁,いもじる,秋
妹背鳥,いもせどり,秋
稲熱田,いもちだ,秋
藷蔓,いもづる,秋
芋煮,いもに,秋
芋煮会,いもにかい,秋
芋の秋,いものあき,秋
甘藷の秋,いものあき,秋
芋の茎,いものくき,秋
芋の露,いものつゆ,秋
芋の葉の露,いものはのつゆ,秋
芋畑,いもばたけ,秋
甘藷畑,いもばたけ,秋
甘藷掘,いもほり,秋
芋虫,いもむし,秋
芋名月,いもめいげつ,秋
刺虫,いらむし,秋
入紅葉,いりもみじ,秋
入るさの月,いるさのつき,秋
色不変松,いろかえぬまつ,秋
色変えぬ松,いろかえぬまつ,秋
色草,いろくさ,秋
色づく草,いろづくくさ,秋
色づく田,いろづくた,秋
色鳥,いろどり,秋
いろ取風,いろどりかぜ,秋
色どる月,いろどるつき,秋
色ながら散る,いろながらちる,秋
色なき風,いろなきかぜ,秋
色無き風,いろなきかぜ,秋
色葉,いろは,秋
色葉散る,いろはちる,秋
色見草,いろみぐさ,秋
岩倉祭,いわくらまつり,秋
弱魚,いわし,秋
鰯,いわし,秋
鰮,いわし,秋
鰯網,いわしあみ,秋
鰯売,いわしうり,秋
鰯雲,いわしぐも,秋
鰯の黒漬,いわしのくろづけ,秋
鰯引,いわしひき,秋
鰯引く,いわしひく,秋
鰯船,いわしぶね,秋
鰯干す,いわしほす,秋
石清水八幡祭,いわしみずはちまんまつり,秋
石清水祭,いわしみずまつり,秋
岩茸,いわたけ,秋
岩茸採り,いわたけとり,秋
石枕,いわまくら,秋
石見鶺鴒,いわみせきれい,秋
岩蓮華,いわれんげ,秋
隠君子,いんくんし,秋
菜豆,いんげん,秋
隠元豇,いんげんささげ,秋
隠元豆,いんげんまめ,秋
院展,いんてん,秋
インド林檎,いんどりんご,秋
印度苹果,いんどりんご,秋
茴香の実,ういきょうのみ,秋
魚を放つ,うおをはなつ,秋
萍紅葉,うきくさもみじ,秋
雨月,うげつ,秋
鬱金の花,うこんのはな,秋
兎鼓,うさぎつづみ,秋
宇佐放生会,うさほうじょうえ,秋
宇佐祭,うさまつり,秋
宇佐宮祭,うさみやまつり,秋
宇治の花園,うじのはなぞの,秋
牛の額,うしのひたい,秋
牛乗,うしのり,秋
牛ひき星,うしひきぼし,秋
牛引星,うしひきぼし,秋
牛祭,うしまつり,秋
烏鵲,うじゃく,秋
烏鵲の橋,うじゃくのはし,秋
烏触,うしょく,秋
薄皮みかん,うすかわみかん,秋
薄黄木犀,うすぎもくせい,秋
薄霧,うすぎり,秋
薄寒,うすさむ,秋
薄墨鶺鴒,うすずみせきれい,秋
薄月,うすづき,秋
臼挽,うすひき,秋
太秦牛祭,うずまさうしまつり,秋
太秦の牛祭,うずまさのうしまつり,秋
薄紅葉,うすもみじ,秋
鶉,うずら,秋
鶉網,うずらあみ,秋
鶉合,うずらあわせ,秋
鶉合せ,うずらあわせ,秋
鶉籠,うずらかご,秋
鶉衣,うずらごろも,秋
うすら寒,うすらさむ,秋
鶉草,うずらそう,秋
鶉鷹,うずらたか,秋
鶉鷹野,うずらたかの,秋
鶉野,うずらの,秋
鶉の衣,うずらのころも,秋
鶉の床,うずらのとこ,秋
鶉斑,うずらふ,秋
鶉豆,うずらまめ,秋
うそ寒,うそさむ,秋
打上花火,うちあげはなび,秋
打栗つくる,うちぐりつくる,秋
団扇置く,うちわおく,秋
団扇仕舞ふ,うちわしまう,秋
団扇捨つる,うちわすつる,秋
うつし花,うつしばな,秋
独活の実,うどのみ,秋
鰻簗,うなぎやな,秋
姥月,うばづき,秋
馬市,うまいち,秋
馬追,うまおい,秋
馬肥ゆる,うまこゆる,秋
馬下,うまさげ,秋
馬下げ,うまさげ,秋
馬の市,うまのいち,秋
うみ柿,うみがき,秋
海萱,うみがや,秋
海鱸,うみすずき,秋
海施餓鬼,うみせがき,秋
海猫帰る,うみねこかえる・ごめかえる,秋
梅嫌,うめもどき,秋
梅擬,うめもどき,秋
落霜紅,うめもどき,秋
梅紅葉,うめもみじ,秋
末枯るる,うらがるる,秋
末枯,うらがれ,秋
末枯野,うらがれの,秋
末枯の野辺,うらがれののべ,秋
末枯の野山,うらがれののやま,秋
末枯の原,うらがれのはら,秋
盂蘭盆,うらぼん,秋
うら盆,うらぼん,秋
裏盆,うらぼん,秋
盂蘭盆会,うらぼんえ,秋
盂蘭盆経,うらぼんきょう,秋
浦祭,うらまつり,秋
瓜の牛,うりのうし,秋
瓜の馬,うりのうま,秋
瓜坊,うりぼう,秋
鱁,うるか,秋
漆搔く,うるしかく,秋
漆の花,うるしのはな,秋
漆の実,うるしのみ,秋
漆紅葉,うるしもみじ,秋
粳,うるち,秋
鱗雲,うろこぐも,秋
虚抜大根,うろぬきだいこん,秋
虚抜き菜,うろぬきな,秋
虚抜菜,うろぬきな,秋
宇和鰯,うわいわし,秋
上露,うわつゆ,秋
浮塵子,うんか,秋
雲漢,うんかん,秋
運動会,うんどうかい,秋
雲浜忌,うんぴんき,秋
永平寺開山忌,えいへいじかいざんき,秋
蘞芋,えぐいも,秋
会式,えしき,秋
会式太鼓,えしきだいこ,秋
蝦夷仙入,えぞせんにゅう,秋
蝦夷三趾げら,えぞみゆびげら,秋
蝦夷龍胆,えぞりんどう,秋
枝豆,えだまめ,秋
雀𪀚,えっさい,秋
絵灯籠,えとうろう・えどうろう,秋
江戸相撲,えどすもう,秋
榎茸,えのきだけ,秋
ゑのこ草,えのこぐさ,秋
犬子草,えのこぐさ・いぬこぐさ,秋
榎の実,えのみ・えのきのみ,秋
えび蟋蟀,えびこおろぎ,秋
夷切れ,えびすぎれ,秋
恵比須講,えびすこう,秋
夷子講市,えびすこういち,秋
恵比須祭,えびすまつり,秋
蝦蔓,えびづる,秋
蘡薁,えびづる,秋
江鮒,えぶな,秋
絵行器,えぼかい,秋
えやみ草,えやみぐさ,秋
円座柿,えんざがき,秋
燕脂花,えんしか,秋
槐の花,えんじゅのはな,秋
豌豆植う,えんどうう,秋
延年頭,えんねんとう,秋
えんま蟋蟀,えんまこおろぎ,秋
閻魔祭,えんままつり,秋
沿籬豆,えんりまめ,秋
老蝶,おいちょう,秋
扇置く,おうぎおく,秋
扇鶏頭,おうぎけいとう,秋
扇ねぶた,おうぎねぶた,秋
応挙忌,おうきょき,秋
王子権現祭,おうじごんげんさい,秋
王子祭,おうじさい,秋
王子神社祭,おうじじんじゃまつり,秋
鴨跖草,おうせきそう,秋
楝の実,おうちのみ,秋
鴨頭草,おうとうそう,秋
生の浦梨,おうのうらなし,秋
御会式,おえしき,秋
大赤げら,おおあかげら,秋
大薊,おおあざみ,秋
大粟,おおあわ,秋
豺獣を祭る,おおかみけものをまつる,秋
狼の祭,おおかみのまつり,秋
大菊,おおぎく,秋
大栗,おおぐり,秋
大毛蓼,おおけたで,秋
大坂相撲,おおさかすもう,秋
大相撲,おおずもう,秋
大反嘴鴫,おおぞりはししぎ,秋
大津祭,おおつまつり,秋
大寺祭,おおてらまつり,秋
荼の花,おおどちのはな,秋
大鳥祭,おおとりまつり,秋
大鳥明神祭,おおとりみょうじんさい,秋
大西風,おおにし,秋
大庭,おおにわ,秋
黄檗山川施餓鬼,おおばくさんかわせがき,秋
車前,おおばこ,秋
車前子,おおばこ,秋
車前草の実,おおばこのみ,秋
大葉酸の木,おおばすのき,秋
大猿子,おおましこ,秋
大神神社祭,おおみわじんしゃまつり,秋
大鵙,おおもず,秋
岡崎踊,おかざきおどり,秋
岡崎東天王祭,おかざきひがしてんのうさい,秋
岡崎祭,おかざきまつり,秋
陸稲,おかぼ・りくとう,秋
陸稲刈,おかぼかり,秋
おかま蟋蟀,おかまこおろぎ,秋
拝み太郎,おがみたろう,秋
おかめ蟋蟀,おかめこおろぎ,秋
苧殻,おがら,秋
麻殻売,おがらうり,秋
苧殻焚く,おがらたく,秋
麻柯の箸,おがらのはし,秋
苧殻火,おがらび,秋
雄刈萱,おがるかや,秋
荻,おぎ,秋
扇灯籠,おぎどろ,秋
翁草,おきなぐさ,秋
翁草,おきなぐさ,秋
荻の上風,おぎのうわかぜ,秋
荻の風,おぎのかぜ,秋
荻の声,おぎのこえ,秋
荻の葉衣,おぎのはごろも,秋
荻吹く,おぎふく,秋
荻よし,おぎよし,秋
荻原,おぎわら,秋
おく田,おくた,秋
晩稲,おくて,秋
晩稲刈,おくてかり,秋
晩稲田,おくてだ,秋
送馬,おくりうま,秋
送り火,おくりび,秋
送火,おくりび,秋
送舟,おくりぶね,秋
送り盆,おくりぼん,秋
送盆,おくりぼん,秋
